"","coins_list","index","news_date","content","news_n","views","comments","polarity","subjectivity","day_movement","volatility"
"1","augur","Small coins",2016-12-08,"Neutro",1,1788,1,0,0,0,0.0859598853868196
"2","augur","Small coins",2018-07-26,"Neutro",2,39016,18,0,0,0.00398274145370055,0.0523292916400766
"3","bitcoin","Bitcoin",2013-12-28,"Negative",1,65,0,0.2,0.3,0.0137537602645058,0.0558321955398494
"4","bitcoin","Bitcoin",2014-01-11,"Neutro",1,107,0,0,0,-0.053763316884195,0.0648521942961323
"5","bitcoin","Bitcoin",2014-02-27,"Neutro",1,164,0,0,0,0.00495143127310237,0.0461745644306034
"6","bitcoin","Bitcoin",2014-03-28,"Neutro",2,320,0,0,0,-0.0388355618895922,0.100357400859283
"7","bitcoin","Bitcoin",2014-03-29,"Neutro",1,146,0,0,0,0.0210081521197504,0.0299687041952224
"8","bitcoin","Bitcoin",2014-03-30,"Neutro",2,303,0,0,0,0.065194873773788,0.0978735503787802
"9","bitcoin","Bitcoin",2014-03-31,"Neutro",2,208,0,0,0,0.0114644170452088,0.0821084013084344
"10","bitcoin","Bitcoin",2014-03-31,"Positive",1,153,0,0.25,0.333333333333333,0.0114644170452088,0.0821084013084344
"11","bitcoin","Bitcoin",2014-04-01,"Neutro",1,178,0,0,0,-0.0467833698030634,0.0774013808697056
"12","bitcoin","Bitcoin",2014-04-01,"Positive",1,160,1,0.225,0.316666666666667,-0.0467833698030634,0.0774013808697056
"13","bitcoin","Bitcoin",2014-04-02,"Neutro",1,203,0,0,0,0.0876570522185583,0.128835471164529
"14","bitcoin","Bitcoin",2014-04-03,"Neutro",1,343,0,0,0,-0.0189716799560078,0.0771403785839803
"15","bitcoin","Bitcoin",2014-04-03,"Positive",1,125,0,0.193181818181818,0.393939393939394,-0.0189716799560078,0.0771403785839803
"16","bitcoin","Bitcoin",2014-04-05,"Neutro",1,85,0,0,0,-0.0341191483645645,0.0417844122786203
"17","bitcoin","Bitcoin",2014-04-06,"Neutro",1,65,0,0,0,0.00625809236081135,0.0286284096757591
"18","bitcoin","Bitcoin",2014-04-07,"Neutro",1,75,0,0,0,0.0261122066439855,0.0377032168799723
"19","bitcoin","Bitcoin",2014-04-08,"Negative",1,98,0,0.5,0.5,-0.0122428006523535,0.0247256350837305
"20","bitcoin","Bitcoin",2014-04-09,"Negative",1,97,0,0.05,0.5,0.0230592700472218,0.0302810874860115
"21","bitcoin","Bitcoin",2014-04-09,"Positive",1,99,0,0.4,0.4,0.0230592700472218,0.0302810874860115
"22","bitcoin","Bitcoin",2014-04-11,"Neutro",1,79,0,0,0,-0.157378130928487,0.182655839169789
"23","bitcoin","Bitcoin",2014-04-15,"Negative",1,130,0,0.05,0,-0.124833649671663,0.126127167630058
"24","bitcoin","Bitcoin",2014-04-15,"Neutro",1,120,0,0,0,-0.124833649671663,0.126127167630058
"25","bitcoin","Bitcoin",2014-04-15,"Positive",1,81,0,0.275,0.516666666666667,-0.124833649671663,0.126127167630058
"26","bitcoin","Bitcoin",2014-04-18,"Neutro",1,200,0,0,0,0.0325937878176685,0.0518652226233454
"27","bitcoin","Bitcoin",2014-04-22,"Positive",1,127,0,0.3,0.366666666666667,0.0151983045716015,0.0310798457930926
"28","bitcoin","Bitcoin",2014-04-23,"Neutro",1,113,0,0,0,-0.00602014907035793,0.0150633552965028
"29","bitcoin","Bitcoin",2014-04-26,"Neutro",1,41,0,0,0,0.00671431665583705,0.0332371808670943
"30","bitcoin","Bitcoin",2014-04-29,"Positive",1,68,0,0.1,0,-0.0164325651165961,0.0364449561597732
"31","bitcoin","Bitcoin",2014-04-30,"Negative",1,80,0,0.166666666666667,0.166666666666667,-0.00167826534493947,0.0319219685213922
"32","bitcoin","Bitcoin",2014-05-01,"Neutro",1,170,0,0,0,-0.0226302973437884,0.0281800221445475
"33","bitcoin","Bitcoin",2014-05-01,"Positive",1,108,0,0.4,0.8,-0.0226302973437884,0.0281800221445475
"34","bitcoin","Bitcoin",2014-05-02,"Negative",1,134,0,0.075,0.6,0.0174479622179465,0.0317297403533292
"35","bitcoin","Bitcoin",2014-05-06,"Positive",1,138,0,0.25,0.333333333333333,0.0101532213402253,0.0553298812606018
"36","bitcoin","Bitcoin",2014-05-07,"Neutro",2,187,0,0,0,-0.0220804024782224,0.0396297043462668
"37","bitcoin","Bitcoin",2014-05-08,"Neutro",2,531,0,0,0.339285714285714,-0.00339655329625241,0.0228813559322034
"38","bitcoin","Bitcoin",2014-05-12,"Neutro",2,253,0,0,0,-0.00720967373944779,0.0181567403789625
"39","bitcoin","Bitcoin",2014-05-14,"Neutro",1,117,0,0,0.125,-0.00767153135568227,0.0137912506156809
"40","bitcoin","Bitcoin",2014-05-18,"Positive",1,179,0,0.3,0.4,0.0054379318029864,0.0110945594414923
"41","bitcoin","Bitcoin",2014-05-20,"Positive",1,150,0,0.35,0.65,-0.0883262379565315,0.0924426176135439
"42","bitcoin","Bitcoin",2014-05-21,"Positive",1,170,0,0.2,0.7,-0.012289007822149,0.0220078079171471
"43","bitcoin","Bitcoin",2014-05-22,"Negative",1,74,0,0.2,0.4,-0.066111167564272,0.0669445713415563
"44","bitcoin","Bitcoin",2014-05-23,"Neutro",1,108,0,0,0,0.0104618428060565,0.0403719831721898
"45","bitcoin","Bitcoin",2014-05-29,"Neutro",1,162,0,0,0.25,0.0141412038241981,0.0268584300814417
"46","bitcoin","Bitcoin",2014-06-02,"Negative",1,191,0,0.15,0.4,-0.0491860557452553,0.0702629601803155
"47","bitcoin","Bitcoin",2014-06-03,"Neutro",3,492,0,0,0,-0.0106729240784196,0.0346085950364185
"48","bitcoin","Bitcoin",2014-06-04,"Negative",1,167,0,0.178571428571429,0.285714285714286,0.0377341512065629,0.06651609429221
"49","bitcoin","Bitcoin",2014-06-04,"Positive",2,382,0,0.2875,0.55,0.0377341512065629,0.06651609429221
"50","bitcoin","Bitcoin",2014-06-06,"Neutro",1,209,0,0,0,0.00846377866763731,0.0137139573914753
"51","bitcoin","Bitcoin",2014-06-09,"Positive",1,886,0,0.2,0.2,0.009883472637423,0.0202371902083017
"52","bitcoin","Bitcoin",2014-06-10,"Positive",1,153,0,0.136363636363636,0.454545454545455,-0.00478432096486372,0.0197844180652205
"53","bitcoin","Bitcoin",2014-06-12,"Positive",1,187,0,0.0333333333333333,0.0666666666666667,0.0733782738424134,0.101612574634467
"54","bitcoin","Bitcoin",2014-06-17,"Neutro",1,3299,0,0,0,-0.0325732348416978,0.033541226734764
"55","bitcoin","Bitcoin",2014-06-18,"Neutro",2,535,0,0,0,0.00296833232202297,0.0186399948041827
"56","bitcoin","Bitcoin",2014-06-19,"Neutro",1,133,0,0,0,0.0164454750275462,0.0248595322095911
"57","bitcoin","Bitcoin",2014-06-20,"Positive",1,2709,0,0.5,0.5,0.00544024104452628,0.0199916631929971
"58","bitcoin","Bitcoin",2014-06-21,"Neutro",2,452,0,0,0,-0.00220657593316275,0.019550929169586
"59","bitcoin","Bitcoin",2014-06-23,"Neutro",3,554,0,0,0,0.0135844293875381,0.0279670429866879
"60","bitcoin","Bitcoin",2014-06-23,"Positive",1,2500,0,0.25,0.333333333333333,0.0135844293875381,0.0279670429866879
"61","bitcoin","Bitcoin",2014-06-24,"Negative",2,346,0,0.15,0.4,0.0195464417394818,0.0244735916377708
"62","bitcoin","Bitcoin",2014-06-24,"Neutro",2,334,0,0,0,0.0195464417394818,0.0244735916377708
"63","bitcoin","Bitcoin",2014-06-25,"Neutro",3,466,0,0,0,0.0265894364139494,0.0307916381082934
"64","bitcoin","Bitcoin",2014-06-26,"Neutro",2,261,0,0,0,-0.0264952131981489,0.0290562728882623
"65","bitcoin","Bitcoin",2014-06-27,"Negative",1,208,0,0.6,0.9,-0.0274557027352486,0.0337099246817303
"66","bitcoin","Bitcoin",2014-06-27,"Neutro",2,590,0,0,0,-0.0274557027352486,0.0337099246817303
"67","bitcoin","Bitcoin",2014-06-27,"Positive",1,722,0,0.25,0.333333333333333,-0.0274557027352486,0.0337099246817303
"68","bitcoin","Bitcoin",2014-06-28,"Neutro",2,367,0,0,0,0.0042231421512988,0.0141446225619139
"69","bitcoin","Bitcoin",2014-06-28,"Positive",1,597,0,0.25,0.5,0.0042231421512988,0.0141446225619139
