"","coin","index","news_date","content","news_n","subscribers","normal_users","moderators","score","comments","polarity","subjectivity","volatility","day_movement"
"1","0x","Small coins",2017-08-16,"Negative",1,15037,437,0,13,19,0.125,0.375,0.628748245729937,-1.0084940702618
"2","0x","Small coins",2017-08-16,"Neutro",1,15037,62,0,13,13,0,0,0.628748245729937,-1.0084940702618
"3","0x","Small coins",2017-08-16,"Positive",1,15037,7,0,45,76,0.4,0.9,0.628748245729937,-1.0084940702618
"4","0x","Small coins",2017-08-17,"Negative",1,15037,19,0,23,11,0.1,1,0.13476468495616,0.0730286698173273
"5","0x","Small coins",2017-08-17,"Neutro",1,15037,456,0,28,45,0,0,0.13476468495616,0.0730286698173273
"6","0x","Small coins",2017-08-18,"Negative",1,15037,81,0,30,1,0.2,0.4,0.413127391080911,-0.427271135154069
"7","0x","Small coins",2017-08-18,"Neutro",2,15037,39,0,35,29,0,0,0.413127391080911,-0.427271135154069
"8","0x","Small coins",2017-08-18,"Positive",1,15037,181,0,47,17,0.5,0.475,0.413127391080911,-0.427271135154069
"9","0x","Small coins",2017-08-19,"Neutro",2,15037,663,0,39,72,0,0,0.477023438189683,-0.625267331572623
"10","0x","Small coins",2017-08-19,"Positive",1,15037,6,0,30,22,0.25,0.5,0.477023438189683,-0.625267331572623
"11","0x","Small coins",2017-08-20,"Neutro",3,15037,1488,0,41,26,0,0,0.1511860826239,0.0997907896523629
"12","0x","Small coins",2017-08-20,"Positive",1,15037,1,0,34,4,0.55,0.75,0.1511860826239,0.0997907896523629
"13","0x","Small coins",2017-08-21,"Neutro",4,15037,172,0,64,64,0,0.140625,0.261309953119365,0.167593002630999
"14","0x","Small coins",2017-08-21,"Positive",2,15037,462,0,76,90,0.425,0.558333333333333,0.261309953119365,0.167593002630999
"15","0x","Small coins",2017-08-22,"Neutro",1,15037,2,0,59,63,0,0,0.15907789880637,-0.0368599362247438
"16","0x","Small coins",2017-08-23,"Neutro",7,15037,1522,0,170,114,0,0,0.114059297984297,-0.0622592785912475
"17","0x","Small coins",2017-08-23,"Positive",1,15037,683,0,14,15,0.8,0.7,0.114059297984297,-0.0622592785912475
"18","0x","Small coins",2017-08-24,"Neutro",2,15037,909,0,50,41,0,0,0.0519772658373604,-0.00680680942240098
"19","0x","Small coins",2017-08-25,"Positive",1,15037,133,0,11,42,0.2,0.5,0.123271454247248,0.0666492872279192
"20","0x","Small coins",2017-08-26,"Neutro",3,15037,46,0,89,36,0,0,0.141357929906121,0.0170680234902851
"21","0x","Small coins",2017-08-26,"Positive",2,15037,25,0,35,15,0.608333333333333,0.625,0.141357929906121,0.0170680234902851
"22","0x","Small coins",2017-08-27,"Neutro",1,15037,44,0,65,9,0,0,0.0648913016075764,0.00925294386227977
"23","0x","Small coins",2017-08-27,"Positive",1,15037,350,0,30,2,0.8,1,0.0648913016075764,0.00925294386227977
"24","0x","Small coins",2017-08-28,"Neutro",2,15037,427,0,19,26,0,0,0.0879396205995666,0.02481423371229
"25","0x","Small coins",2017-08-28,"Positive",1,15037,2848,0,113,24,0.136363636363636,0.454545454545455,0.0879396205995666,0.02481423371229
"26","0x","Small coins",2017-08-29,"Neutro",2,15037,4022,0,35,9,0,0,0.0842164045866903,-0.0541481848484759
"27","0x","Small coins",2017-08-29,"Positive",2,15037,122,0,75,14,0.45,0.45,0.0842164045866903,-0.0541481848484759
"28","0x","Small coins",2017-08-30,"Neutro",2,15037,1097,0,45,43,0,0,0.0926685444153449,0.0807962205003517
"29","0x","Small coins",2017-08-30,"Positive",1,15037,15842,0,72,42,0.5,1,0.0926685444153449,0.0807962205003517
"30","0x","Small coins",2017-08-31,"Neutro",8,15037,2130,0,263,165,0,0.0625,0.134910547396529,-0.117478925582379
"31","0x","Small coins",2017-09-01,"Neutro",1,15037,34,0,48,17,0,0,0.102119977920005,-0.0348036493667796
"32","0x","Small coins",2017-09-01,"Positive",2,15037,24977,0,78,6,0.35,0.616666666666667,0.102119977920005,-0.0348036493667796
"33","0x","Small coins",2017-09-02,"Neutro",1,15037,135,0,74,64,0,0,0.22341896197945,0.204563894523327
"34","0x","Small coins",2017-09-02,"Positive",2,15037,2578,0,46,14,0.193181818181818,0.472222222222222,0.22341896197945,0.204563894523327
"35","0x","Small coins",2017-09-03,"Neutro",1,15037,102,0,10,7,0,0,0.13627388243898,0.0637458620308402
"36","0x","Small coins",2017-09-04,"Neutro",2,15037,781,0,97,3,0,0,0.267681554318209,0.169842996394059
"37","0x","Small coins",2017-09-04,"Positive",1,15037,35,0,43,9,0.35,0.4625,0.267681554318209,0.169842996394059
"38","0x","Small coins",2017-09-05,"Neutro",2,15037,7552,0,27,35,0,0.5,0.177648842615991,-0.0175994993318786
"39","0x","Small coins",2017-09-06,"Neutro",2,15037,43,0,121,29,0,0,0.0869792453049325,-0.076140951656203
"40","0x","Small coins",2017-09-07,"Neutro",2,15037,233,0,56,9,0,0.2,0.233240842002513,-0.204784558393449
"41","0x","Small coins",2017-09-07,"Positive",1,15037,284,0,13,16,0.2,0.6,0.233240842002513,-0.204784558393449
