name,date,open_value,high_value,low_value,close_value,adj_close,volume
Dow Jones,2018-10-26,24770.25,24916.16,24445.19,24688.31,24688.31,505310000.0
Dow Jones,2018-10-25,24736.54,25104.29,24645.56,24984.55,24984.55,439670000.0
Dow Jones,2018-10-24,25172.88,25306.23,24533.19,24583.42,24583.42,496400000.0
Dow Jones,2018-10-23,25038.46,25307.7,24768.79,25191.43,25191.43,436430000.0
Dow Jones,2018-10-22,25492.14,25561.34,25236.05,25317.41,25317.41,314940000.0
Dow Jones,2018-10-19,25421.09,25608.71,25350.02,25444.34,25444.34,350810000.0
Dow Jones,2018-10-18,25645.56,25691.46,25236.01,25379.45,25379.45,328020000.0
Dow Jones,2018-10-17,25705.87,25810.09,25479.16,25706.68,25706.68,298210000.0
Dow Jones,2018-10-16,25351.53,25817.68,25351.53,25798.42,25798.42,305800000.0
Dow Jones,2018-10-15,25332.46,25482.42,25243.88,25250.55,25250.55,287320000.0
Dow Jones,2018-10-12,25407.63,25467.55,25000.83,25339.99,25339.99,397510000.0
Dow Jones,2018-10-11,25518.39,25683.64,24899.77,25052.83,25052.83,522880000.0
Dow Jones,2018-10-10,26441.73,26487.87,25567.1,25598.74,25598.74,438200000.0
Dow Jones,2018-10-09,26469.19,26539.94,26324.16,26430.57,26430.57,282560000.0
Dow Jones,2018-10-08,26399.45,26529.35,26223.09,26486.78,26486.78,273020000.0
Dow Jones,2018-10-05,26632.77,26676.16,26301.81,26447.05,26447.05,267100000.0
Dow Jones,2018-10-04,26784.08,26793.82,26471.61,26627.48,26627.48,289600000.0
Dow Jones,2018-10-03,26833.47,26951.81,26789.08,26828.39,26828.39,280130000.0
Dow Jones,2018-10-02,26648.91,26824.78,26627.66,26773.94,26773.94,258290000.0
Dow Jones,2018-10-01,26598.36,26737.98,26596.05,26651.21,26651.21,238320000.0
Dow Jones,2018-09-28,26407.66,26515.76,26383.57,26458.31,26458.31,264030000.0
Dow Jones,2018-09-27,26418.27,26557.01,26379.95,26439.93,26439.93,226350000.0
Dow Jones,2018-09-26,26536.86,26606.09,26349.34,26385.28,26385.28,262620000.0
Dow Jones,2018-09-25,26601.58,26634.85,26475.58,26492.21,26492.21,234110000.0
Dow Jones,2018-09-24,26705.25,26709.94,26548.68,26562.05,26562.05,254850000.0
Dow Jones,2018-09-21,26726.25,26769.16,26680.37,26743.5,26743.5,657620000.0
Dow Jones,2018-09-20,26519.39,26697.49,26519.39,26656.98,26656.98,260480000.0
Dow Jones,2018-09-19,26287.84,26464.41,26280.76,26405.76,26405.76,251330000.0
Dow Jones,2018-09-18,26076.21,26317.34,26076.21,26246.96,26246.96,243000000.0
Dow Jones,2018-09-17,26151.66,26184.47,26030.35,26062.12,26062.12,230230000.0
Dow Jones,2018-09-14,26169.56,26211.11,26068.29,26154.67,26154.67,228640000.0
Dow Jones,2018-09-13,26083.94,26191.64,26067.08,26145.99,26145.99,260800000.0
Dow Jones,2018-09-12,25989.07,26145.72,25929.43,25998.92,25998.92,282770000.0
Dow Jones,2018-09-11,25841.14,26019.92,25754.32,25971.06,25971.06,265960000.0
Dow Jones,2018-09-10,25991.91,26039.96,25854.13,25857.07,25857.07,252170000.0
Dow Jones,2018-09-07,25951.02,26002.99,25818.39,25916.54,25916.54,281350000.0
Dow Jones,2018-09-06,25973.02,26073.68,25880.84,25995.87,25995.87,262380000.0
Dow Jones,2018-09-05,25919.84,26011.22,25871.04,25974.99,25974.99,289210000.0
Dow Jones,2018-09-04,25916.07,25971.77,25805.95,25952.48,25952.48,254600000.0
Dow Jones,2018-08-31,25964.85,26028.83,25879.77,25964.82,25964.82,273440000.0
Dow Jones,2018-08-30,26099.01,26104.37,25934.8,25986.92,25986.92,240440000.0
Dow Jones,2018-08-29,26082.53,26167.94,26035.3,26124.57,26124.57,214960000.0
Dow Jones,2018-08-28,26092.7,26122.24,26037.85,26064.02,26064.02,211470000.0
Dow Jones,2018-08-27,25882.71,26067.57,25882.71,26049.64,26049.64,220510000.0
Dow Jones,2018-08-24,25688.58,25826.05,25688.58,25790.35,25790.35,200330000.0
Dow Jones,2018-08-23,25714.86,25762.56,25608.02,25656.98,25656.98,213270000.0
Dow Jones,2018-08-22,25825.06,25836.16,25722.43,25733.6,25733.6,200480000.0
Dow Jones,2018-08-21,25786.99,25888.82,25784.9,25822.29,25822.29,241620000.0
Dow Jones,2018-08-20,25727.7,25790.17,25716.41,25758.69,25758.69,248570000.0
Dow Jones,2018-08-17,25550.8,25728.16,25521.66,25669.32,25669.32,284160000.0
Dow Jones,2018-08-16,25294.97,25607.34,25294.97,25558.73,25558.73,342430000.0
Dow Jones,2018-08-15,25235.37,25235.37,24965.77,25162.41,25162.41,295810000.0
Dow Jones,2018-08-14,25215.69,25339.51,25201.87,25299.92,25299.92,219210000.0
Dow Jones,2018-08-13,25327.19,25381.39,25153.93,25187.7,25187.7,219990000.0
Dow Jones,2018-08-10,25401.19,25401.19,25222.88,25313.14,25313.14,234480000.0
Dow Jones,2018-08-09,25589.79,25613.31,25492.69,25509.23,25509.23,214970000.0
Dow Jones,2018-08-08,25615.72,25634.11,25557.48,25583.75,25583.75,217770000.0
Dow Jones,2018-08-07,25551.65,25692.72,25551.65,25628.91,25628.91,239910000.0
Dow Jones,2018-08-06,25437.43,25540.02,25381.38,25502.18,25502.18,238990000.0
Dow Jones,2018-08-03,25360.37,25467.9,25325.17,25462.58,25462.58,239020000.0
Dow Jones,2018-08-02,25256.45,25360.48,25120.07,25326.16,25326.16,307700000.0
Dow Jones,2018-08-01,25461.63,25488.8,25278.32,25333.82,25333.82,315880000.0
Dow Jones,2018-07-31,25345.21,25490.98,25345.21,25415.19,25415.19,348700000.0
Dow Jones,2018-07-30,25439.32,25500.16,25287.38,25306.83,25306.83,296880000.0
Dow Jones,2018-07-27,25520.52,25580.22,25370.07,25451.06,25451.06,329680000.0
Dow Jones,2018-07-26,25468.55,25587.24,25463.16,25527.07,25527.07,297530000.0
Dow Jones,2018-07-25,25183.7,25432.87,25113.55,25414.1,25414.1,273670000.0
Dow Jones,2018-07-24,25092.43,25286.62,25092.43,25241.94,25241.94,274940000.0
Dow Jones,2018-07-23,25036.9,25081.45,24983.33,25044.29,25044.29,228820000.0
Dow Jones,2018-07-20,25041.14,25124.1,24986.35,25058.12,25058.12,274080000.0
Dow Jones,2018-07-19,25139.15,25154.17,25052.62,25064.5,25064.5,285760000.0
Dow Jones,2018-07-18,25133.79,25215.32,25101.12,25199.29,25199.29,252870000.0
Dow Jones,2018-07-17,25033.92,25155.39,24989.61,25119.89,25119.89,250450000.0
Dow Jones,2018-07-16,25025.58,25072.41,24979.64,25064.36,25064.36,231270000.0
Dow Jones,2018-07-13,24926.07,25043.21,24890.06,25019.41,25019.41,255520000.0
Dow Jones,2018-07-12,24802.9,24939.97,24802.9,24924.89,24924.89,233150000.0
Dow Jones,2018-07-11,24789.48,24815.16,24663.82,24700.45,24700.45,237370000.0
Dow Jones,2018-07-10,24806.97,24945.38,24806.97,24919.66,24919.66,235040000.0
Dow Jones,2018-07-09,24519.2,24796.52,24518.43,24776.59,24776.59,240580000.0
Dow Jones,2018-07-06,24352.47,24520.29,24281.47,24456.48,24456.48,219450000.0
Dow Jones,2018-07-05,24285.82,24372.8,24177.44,24356.74,24356.74,237670000.0
Dow Jones,2018-07-03,24359.39,24444.88,24150.85,24174.82,24174.82,160960000.0
Dow Jones,2018-07-02,24161.53,24319.42,24077.56,24307.18,24307.18,244110000.0
Dow Jones,2018-06-29,24323.93,24509.52,24269.71,24271.41,24271.41,329070000.0
Dow Jones,2018-06-28,24064.19,24308.16,23997.21,24216.05,24216.05,305020000.0
Dow Jones,2018-06-27,24303.11,24569.02,24115.82,24117.59,24117.59,313790000.0
Dow Jones,2018-06-26,24281.89,24384.21,24241.22,24283.11,24283.11,301130000.0
Dow Jones,2018-06-25,24463.73,24463.73,24084.39,24252.8,24252.8,439130000.0
Dow Jones,2018-06-22,24526.97,24663.18,24526.97,24580.89,24580.89,473970000.0
Dow Jones,2018-06-21,24639.21,24639.21,24406.63,24461.7,24461.7,349570000.0
Dow Jones,2018-06-20,24771.17,24804.76,24628.39,24657.8,24657.8,359520000.0
Dow Jones,2018-06-19,24763.59,24763.59,24567.75,24700.21,24700.21,376380000.0
Dow Jones,2018-06-18,24944.28,25003.1,24825.77,24987.47,24987.47,337070000.0
Dow Jones,2018-06-15,25116.71,25130.82,24894.38,25090.48,25090.48,659370000.0
Dow Jones,2018-06-14,25254.65,25332.5,25138.6,25175.31,25175.31,341170000.0
Dow Jones,2018-06-13,25328.65,25362.07,25191.42,25201.2,25201.2,329700000.0
Dow Jones,2018-06-12,25346.82,25364.37,25247.04,25320.73,25320.73,265750000.0
Dow Jones,2018-06-11,25336.67,25402.83,25290.2,25322.31,25322.31,276740000.0
Dow Jones,2018-06-08,25209.29,25325.63,25165.7,25316.53,25316.53,317510000.0
Dow Jones,2018-06-07,25192.14,25326.09,25164.48,25241.41,25241.41,357680000.0
Dow Jones,2018-06-06,24854.14,25146.46,24854.14,25146.39,25146.39,316090000.0
Dow Jones,2018-06-05,24820.12,24838.78,24710.82,24799.98,24799.98,306340000.0
Dow Jones,2018-06-04,24727.55,24859.37,24722.14,24813.69,24813.69,340400000.0
Dow Jones,2018-06-01,24542.09,24673.6,24542.09,24635.21,24635.21,315710000.0
Dow Jones,2018-05-31,24620.79,24620.79,24352.15,24415.84,24415.84,429740000.0
Dow Jones,2018-05-30,24467.83,24714.48,24459.09,24667.78,24667.78,324870000.0
Dow Jones,2018-05-29,24606.59,24635.18,24247.84,24361.45,24361.45,395810000.0
Dow Jones,2018-05-25,24781.29,24824.22,24687.81,24753.09,24753.09,257210000.0
Dow Jones,2018-05-24,24877.36,24877.36,24605.9,24811.76,24811.76,347050000.0
Dow Jones,2018-05-23,24757.71,24889.46,24667.12,24886.81,24886.81,399610000.0
Dow Jones,2018-05-22,25047.55,25064.99,24812.06,24834.41,24834.41,288200000.0
Dow Jones,2018-05-21,24883.06,25086.49,24883.06,25013.29,25013.29,308920000.0
Dow Jones,2018-05-18,24707.72,24774.97,24664.87,24715.09,24715.09,269700000.0
Dow Jones,2018-05-17,24752.4,24839.49,24639.4,24713.98,24713.98,314650000.0
Dow Jones,2018-05-16,24722.32,24801.19,24672.79,24768.93,24768.93,280810000.0
Dow Jones,2018-05-15,24809.55,24809.55,24629.39,24706.41,24706.41,301900000.0
Dow Jones,2018-05-14,24879.37,24994.19,24862.52,24899.41,24899.41,282860000.0
Dow Jones,2018-05-11,24758.64,24868.65,24717.5,24831.17,24831.17,274150000.0
Dow Jones,2018-05-10,24591.66,24794.99,24575.91,24739.53,24739.53,304210000.0
Dow Jones,2018-05-09,24399.18,24586.48,24323.87,24542.54,24542.54,361580000.0
Dow Jones,2018-05-08,24341.35,24412.34,24198.34,24360.21,24360.21,344940000.0
Dow Jones,2018-05-07,24317.66,24479.45,24263.42,24357.32,24357.32,307670000.0
Dow Jones,2018-05-04,23865.22,24333.35,23778.87,24262.51,24262.51,329480000.0
Dow Jones,2018-05-03,23836.23,23996.15,23531.31,23930.15,23930.15,389240000.0
Dow Jones,2018-05-02,24097.63,24185.52,23886.3,23924.98,23924.98,385350000.0
Dow Jones,2018-05-01,24117.29,24117.29,23808.19,24099.05,24099.05,380070000.0
Dow Jones,2018-04-30,24410.41,24498.23,24163.08,24163.15,24163.15,416650000.0
Dow Jones,2018-04-27,24342.14,24359.38,24194.45,24311.19,24311.19,392810000.0
Dow Jones,2018-04-26,24128.72,24402.46,24128.72,24322.34,24322.34,390360000.0
Dow Jones,2018-04-25,24070.2,24146.34,23823.08,24083.83,24083.83,437100000.0
Dow Jones,2018-04-24,24579.94,24579.94,23828.73,24024.13,24024.13,468180000.0
Dow Jones,2018-04-23,24488.07,24536.89,24328.54,24448.69,24448.69,351030000.0
